"SEQN","self_eval","teacher_eval","extracurricular","district","SRP_1","SRP_2","SRP_3","SRP_4","SRP_5","SRP_6","SRP_7","SRP_8","SRP_9","SRP_10","SRP_11","SRP_12","SRP_13","SRP_14","SRP_15","SRP_16","SRP_17","SRP_18","SRP_19","SRP_20","SRP_21","SRP_22","SRP_23","SRP_24","SRP_25","SRP_26","SRP_27","SRP_28","SRP_29","SRP_30","SRP_31","SRP_32","SRP_33","SRP_34","SRP_35","SRP_36","SRP_37","SRP_38","SRP_39","SRP_40","SRP_41","SRP_42","SRP_43","SRP_44","SRP_45","SRP_46","SRP_47","SRP_48","SRP_49","SRP_50","y"
883281,1,1,10,1,0.828,0.333,-1.468,1.79,-0.429,-0.048,-1.552,-0.262,-0.608,2.291,2.451,-0.913,0.004,-0.623,0.777,-1.701,1.112,-1.011,1.511,-2.633,0.706,-0.28,-2.094,0.282,-1.869,0.62,-1.471,-1.428,-0.035,0.538,-1.01,-2.047,0.109,1.187,-0.162,-0.258,0.757,-1.501,-0.017,-0.741,1.451,-1.805,-1.696,-1.033,-1.113,1.264,-0.475,-0.159,0.389,-0.973,0.336
669543,5,5,8,5,-0.192,0.333,-0.083,-1.128,1.79,-0.681,-0.051,-0.452,-0.722,-0.574,-0.214,-1.167,1.866,-0.264,-1.393,1.009,-0.131,-0.622,-0.576,-0.12,-1.657,-0.114,1.912,-2.191,0.65,0.322,2.612,-0.56,-0.472,-0.241,-0.112,-0.753,0.117,2.001,0.345,0.894,-0.008,1.327,-0.21,0.024,-0.933,-0.124,-0.436,0.153,0.623,0.992,0.215,1.852,0.131,-0.329,0.093
277324,1,1,7,2,-1.167,0.398,-0.49,-0.389,-0.509,0.192,-1.967,-2.386,0.794,1.384,0.364,0.261,0.91,-1.043,-0.922,-0.06,1.663,0.525,0.856,2.268,-1.324,-0.089,-1.934,-0.591,-0.87,0.768,-0.616,-0.432,-0.109,1.01,1.668,-0.365,0.489,-1.229,-1.523,0.61,-2.147,0.731,0.624,0.336,-0.051,0.195,-0.804,-0.985,0.74,-0.023,-2.928,-1.611,0.914,-0.005,-0.371
944672,4,4,2,6,1.245,0.677,0.561,-1.066,-0.921,-0.892,-0.516,-1.212,-1.047,-2.062,-0.603,0.467,-0.091,-0.229,-0.169,0.334,0.677,0.621,0.494,-0.341,0.326,0.071,1.378,1.164,-1.654,0.939,-0.087,-0.139,-0.461,-0.91,1.032,2.776,0.487,1.896,1.733,-0.95,0.761,-0.021,-2.211,-2.297,1.504,0.405,0.883,-0.25,1.401,-0.56,-0.176,-0.357,1.603,-0.257,2.117
613997,3,2,1,1,1.076,1.349,-0.943,-0.779,-0.279,-0.983,-1.076,0.551,0.263,0.051,0.051,1.296,0.056,0.726,0.157,-0.481,0.36,1.274,-0.639,0.656,-0.943,-0.685,0.229,0.498,1.882,-0.402,-1.3,0.625,-1.432,-0.319,0.6,-0.713,1.094,-1.658,-2.743,1.776,0.717,1.782,0.407,-0.004,0.355,-0.681,1.373,-0.489,-0.329,-0.827,0.391,-1.248,-0.181,-2.337,-0.757
402313,2,1,3,3,0.989,0.947,0.274,0.29,-0.157,-0.251,-0.078,-0.696,0.805,-0.195,1.717,-1.299,-0.065,-0.308,-0.572,0.513,0.667,-0.547,-0.854,-1.257,0.899,0.826,0.087,1.187,-1.005,0.584,0.519,0.434,2.134,0.169,-2.259,-0.335,-1.214,-0.699,0.094,-0.75,0.339,-2.259,1.327,0.776,0.194,0.194,-0.22,-0.103,0.953,0.557,-0.408,-2.083,-1.071,0.977,-0.242
554826,5,5,8,6,2.407,-0.565,0.32,0.098,0.515,-1.101,-1.595,1.117,0.645,1.74,0.592,0.928,1.641,0.847,0.49,-0.934,0.144,0.618,0.452,-0.653,-1.134,0.698,-0.058,0.127,0.662,-0.267,1.114,-0.604,-0.169,1.662,0.266,0.011,-0.747,-1.237,0.235,0.218,1.5,-0.392,0.252,-0.1,1.364,-0.533,0.401,1.379,0.775,0.774,-0.374,0.489,-1.084,0.495,4.446
449435,3,3,7,1,1.242,-0.569,-0.464,0.596,0.859,-1.136,-0.123,-1.27,-0.05,1.07,-0.026,-1.111,-1.617,1.998,-2.023,-0.694,-0.633,-0.251,0.028,-0.457,0.765,1.343,-0.726,0.714,-0.083,-1.236,-1.499,-1.003,-0.916,1.789,-0.826,-0.643,1.584,-1.091,0.216,-1.644,-1.481,-1.688,0.139,-0.39,0.114,0.151,0.662,-0.506,2.108,1.474,-0.561,-0.588,-0.617,2.571,-2.003
749877,3,3,5,6,0.815,0.983,-0.344,0.299,-0.352,-0.91,0.281,-1.036,0.273,0.538,0.5,1.877,-0.547,0.208,-0.646,0.422,0.039,-0.326,1.927,-1.281,-0.85,-1.047,2.1,0.285,0.791,0.906,-0.27,-0.467,0.438,1.278,-2.503,1.229,-0.474,-0.556,0.477,0.691,1.27,0.568,1.254,0.273,0.595,0.426,-0.895,-0.579,0.166,-1.172,0.517,0.558,0.271,0.618,3.103
401205,1,1,8,3,-1.076,1.215,-1.427,0.42,-0.767,-0.242,0.353,-1.168,-0.091,2.174,1.844,-2.054,-0.967,-0.175,-1.076,-1.396,0.477,-0.231,0.12,-0.33,0.654,0.755,-1.463,0.283,-0.435,-0.001,-0.377,0.884,-0.107,0.523,-0.043,2.219,-1.257,-0.296,1.595,-0.712,-1.104,0.245,-0.01,0.808,-0.63,-0.183,-1.378,-0.45,0.903,1.443,0.951,-2.097,1.304,1.784,1.728
668896,2,3,4,1,0.732,-0.894,0.853,0.218,-0.331,0.521,-0.77,-1.099,0.533,-0.083,0.032,-0.317,0.799,0.984,0.051,-0.165,-0.212,0.745,-0.073,2.089,-0.247,1.455,-0.604,-0.207,-0.569,-0.111,1.646,-1.033,-1.69,0.292,-0.384,-0.061,-0.971,-0.198,-1.112,0.184,1.76,-0.922,-2.334,-1.568,-0.077,0.228,-0.541,-1.91,0.687,1.414,0.174,1.366,-0.442,-1.024,0.028
377049,1,1,5,6,1.907,-1.709,-0.632,-0.796,0.957,-0.49,-1.628,-0.544,-1.421,-0.459,-0.921,-0.724,-0.354,-0.811,-1.224,-0.256,-0.585,0.478,-0.477,0.289,-0.376,-0.273,0.908,0.905,1.292,-0.856,-0.342,0.221,-0.228,-0.324,0.411,1.21,1.411,-1.19,1.269,0.888,1.235,0.356,-2.306,-1.474,0.965,-0.468,1.259,-0.018,-1.185,-0.061,-0.803,0.225,-1.303,0.512,-1.114
90077,4,5,10,7,0.555,-2.866,0.898,1.382,-1.71,0.137,-1.596,0.862,-0.354,0.271,-0.537,0.155,1.574,0.772,-1.61,-0.03,0.623,1.885,-1.021,0.967,-0.046,1.949,0.123,-0.027,0.115,1.655,-1.404,-0.546,0.351,-1.034,0.64,1.245,0.878,0.509,-0.403,0.389,-1.345,1.651,-0.33,0.19,-0.062,0.304,-0.566,0.655,-0.189,1.879,-1.544,-0.779,0.616,2.128,1.328
268360,1,1,1,6,0.353,0.263,0.649,0.648,-0.232,-2.666,0.313,0.849,1.016,0.374,-0.057,0.044,-0.549,-1.706,-1.324,0.434,0.08,0.852,-0.344,0.12,-0.493,-1.258,1.93,-0.408,0.326,0.357,1.275,-0.392,-0.223,-0.339,0.94,-0.606,-0.87,-0.368,0.545,0.113,1.042,0.06,-0.917,1.102,0.917,-1.203,0.303,-0.396,2.563,-1.246,-3.347,0.185,0.337,0.267,-1.094
738879,1,1,8,5,0.13,-0.916,-0.125,0.042,-0.879,0.539,-1.072,1.403,2.421,1.595,1.522,-0.942,-0.194,-2.106,0.728,-1.129,-0.005,0.078,1.089,1.973,0.833,0.171,-0.546,-0.023,2.3,-0.673,0.049,-0.422,-1.375,2.613,-1.265,1.037,0.17,-0.467,-0.068,-0.396,0.694,0.079,-1.303,-0.44,-0.173,0.505,0.646,1.434,-0.084,-0.807,0.5,-0.597,2.105,-2.19,2.241
815826,4,4,6,6,-1.183,-0.614,1.043,-0.39,-0.139,0.05,-1.247,0.475,-0.326,2.024,-0.311,1.519,0.756,-0.025,-0.878,1.501,-0.887,1.253,0.018,-1.422,-0.124,2.638,2.412,0.994,-0.196,-0.406,-0.883,-0.379,0.722,0.207,-1.795,1.889,-0.442,1.219,0.261,-0.596,-0.312,1.766,0.122,1.108,0.791,-1.075,-0.567,-0.225,-1.099,-0.793,1.741,0.373,0.262,1.472,4.06
53241,3,2,2,2,-1.615,1.104,0.256,0.231,-1.208,-0.805,-0.12,-0.163,0.816,1.117,1.414,-0.283,0.432,0.513,-0.318,0.892,0.259,1.001,0.636,0.71,-1.808,0.466,-0.348,-0.802,1.609,-1.264,1.323,0.091,-1.914,0.337,-2.253,0.586,1.234,-0.072,0.423,1.677,-0.817,0.262,1.371,0.616,0.187,-0.854,-1.245,-0.655,0.894,0.511,1.157,-0.742,-0.95,0.748,2.3
684185,5,4,7,6,0.885,-2.661,-0.847,-1.301,-1.824,-0.178,-2.103,-0.28,2.994,0.054,0.115,-0.004,0.833,-0.165,-0.992,-0.942,-0.365,0.065,0.292,0.017,-1.22,0.48,-0.176,-0.84,0.104,-1.273,-0.725,-0.103,-0.907,0.393,1.044,-1.472,-0.144,-1.816,0.716,-1.574,1.143,-0.206,0.369,-0.657,0.778,0.471,0.974,0.648,2.041,0.209,0.758,-0.497,2.159,-0.329,2.238
368917,3,3,6,4,-0.267,0.446,0.187,-0.336,-0.758,-2.097,0.262,-0.826,-1.088,1.814,-0.826,-0.277,-0.787,1.516,0.385,-0.625,1,0.103,-1.095,-0.324,0.613,0.723,0.358,0.466,0.995,0.512,0.402,0.266,-1.191,-0.481,0.105,-0.559,0.926,0.764,1.17,1.094,-0.851,-0.989,-1.463,0.404,-1.251,-1.785,1.951,-0.012,2.32,0.147,0.203,-1.209,1.084,0.291,2.322
917545,1,2,4,5,-0.926,-0.069,-0.678,-2.516,-1.022,1.748,0.447,-0.33,-0.546,0.19,-1.055,-0.004,0.206,0.451,0.764,-0.362,0.167,0.501,-0.124,-0.384,-0.023,-0.877,0.199,1.072,0.004,0.036,-0.812,-0.051,-0.689,0.319,1.158,-0.294,-0.528,-0.218,1.161,-0.071,-2.321,-0.461,0.64,0.455,-0.65,-1.994,-0.198,1.164,1.424,1.733,0.5,-0.804,-0.01,-1.538,0.187
931930,4,2,8,2,-1.605,-0.512,0.817,0.265,0.671,-0.214,-0.033,-1.379,-0.071,0.797,0.001,1.804,-0.278,0.663,-1.054,-0.883,-1.63,0.958,-1.61,-1.134,-0.344,-2.983,-0.267,-1.704,1.619,-0.033,0.1,1.303,-0.662,0.627,0.07,0.421,-1.904,1.032,0.916,2.134,-0.166,0.295,0.021,1.7,-1.452,-0.838,-0.082,-1.895,-0.121,0.175,0.929,1.24,-1.694,1.605,1.244
761055,2,1,8,7,-0.231,0.323,-0.586,-0.267,1.169,-0.12,-0.417,-0.295,0.239,-1.021,1.127,-0.36,-0.406,-0.263,-1.136,0.755,-0.955,1.069,-1.177,-1.885,-0.232,-0.361,-0.098,-0.191,-1.615,1.88,-0.581,0.885,0.78,-1.008,-0.146,0.674,0.27,-1.064,-1.298,0.502,0.047,0.769,0.927,-0.314,0.546,0.333,-1.348,1.06,-0.709,1.15,-1.791,0.188,1.007,-0.884,-0.961
990324,5,3,1,2,-0.471,-1.067,0.32,-0.276,0.177,-0.85,-0.678,0.874,-0.184,-1.3,0.446,-1.363,0.361,-1.212,0.865,-0.962,-1.293,1.354,-0.106,0.166,-0.863,-0.314,-1.896,0.516,0.038,-1.136,0.838,0.511,-0.13,-1.01,-0.647,-0.527,-0.869,0.476,0.568,-0.355,-0.532,1.11,-0.93,-0.538,-0.583,-0.157,-0.803,-0.417,0.122,-0.91,-0.46,1.245,0,1.471,-0.947
895750,1,1,9,7,-1.225,0.318,0.765,0.151,0.285,0.471,0.052,-0.438,-0.778,1.406,1.555,0.853,-1.503,0.472,0.937,-0.374,-1.943,1.11,-0.305,0.207,0.346,-0.767,1.04,2.413,1.486,0.468,-1.897,-2.331,0.377,0.085,-0.376,0.35,0.362,0.064,0.423,2.005,-0.941,-0.876,-1.476,-0.24,0.299,0.392,0.248,-2.798,0.169,-1.053,-1.662,0.777,0.902,0.454,1.723
707016,4,4,3,4,-1.853,1.088,0.405,-2.744,0.423,-0.712,1.671,0.608,-0.947,-1.3,1.496,-1.016,0.091,1.007,0.316,0.577,1.277,0.317,-0.686,2.487,-0.475,-0.944,-0.323,0.729,-1.678,-0.274,0.579,-0.263,1.096,0.475,-0.284,-1.224,0.706,-0.353,0.428,-0.693,-0.283,0.815,-0.092,0.964,-0.342,0.282,-0.791,0.061,-0.698,1.582,0.264,-1.914,0.285,0.655,2.911
356182,3,2,4,4,0.085,-0.042,-0.259,-1.118,-0.229,-1.19,0.023,-1.103,0.317,-1.322,0.465,-1.3,-0.441,-0.493,-1.235,0.784,2.354,-0.728,-0.197,-0.701,-1.83,-0.565,-0.063,-1.09,0.861,-0.63,0.919,1.142,1.727,1.502,1.648,1.079,0.409,-0.523,0.648,0.251,1.158,-0.738,-0.924,0.171,0.123,0.327,1.483,-0.3,-0.45,-0.438,1.023,2.133,-0.172,0.472,2.001
451743,2,1,10,3,-0.709,-0.954,-0.564,0.664,-1.385,0.739,-0.705,0.028,0.144,0.564,0.032,-0.086,0.905,1.202,-0.228,-0.362,-0.861,-0.513,0.594,1.404,1.536,-1.9,0.425,-1.172,1.249,-0.568,0.035,0.077,0.771,0.125,-0.414,-0.392,-0.95,-1.768,-1.077,-1.199,1.597,0.611,-0.436,-0.205,0.252,-0.001,0.357,-1.849,-0.411,-1.818,0.477,0.045,0.575,-0.881,-0.37
994513,2,2,3,7,0.668,-0.806,0.535,0.414,0.682,-0.189,-0.269,1.164,-1.457,1.848,0.76,0.957,0.565,-0.702,0.358,-0.29,0.332,-1.282,-0.801,-0.489,-0.432,0.218,-1.036,1.343,0.313,-1.127,-1.297,0.516,1.802,0.801,0.289,-0.176,-1.285,-0.424,-0.775,-0.286,0.201,-0.238,0.586,0.408,-0.521,-1.077,-0.223,0.551,-0.001,-0.559,-0.101,0.609,-0.029,-0.313,-0.105
370482,4,4,2,3,-0.681,1.399,0.477,-1.685,0.541,0.133,-0.148,1.086,0.161,0.022,-1.2,1.825,-3.467,0.398,-0.476,0.235,1.019,-0.506,-0.562,0.065,2.826,-0.58,-0.851,-1.291,-1.737,2.038,0.032,0.155,-0.715,-1.868,-1.101,1.526,-0.882,0.797,0.898,0.04,1.241,-0.579,0.525,-1.293,-0.467,-0.114,0.877,0.129,1.315,0.817,-0.153,0.423,1.853,-1.498,-0.341
43042,3,4,8,3,1.282,-1.24,-2.247,-0.587,1.433,0.066,-0.061,0.337,-0.143,2.295,0.701,0.301,-1.091,-0.364,-1.338,-0.769,-0.73,-0.949,-0.781,-0.162,1.026,1.447,-0.328,1.531,1.156,1.467,1.241,0.187,-2.41,0.336,-1.08,-0.044,1.052,0.17,0.3,1.109,-0.72,1.88,-0.418,-0.357,-0.186,0.904,1.007,-0.282,0.433,0.979,-0.222,0.016,-0.42,0.477,0.543
208909,4,3,9,3,0.923,2.053,0.405,2.081,-0.407,0.492,-0.027,2.222,-0.279,2.705,0.444,0.047,-0.462,-0.71,-0.023,-0.531,0.547,1.075,0,0.204,0.438,-1.304,0.308,0.202,0.953,0.532,-0.56,1.005,-0.351,-0.43,-1.206,1.395,0.609,0.984,0.085,-0.53,3.314,-1.016,-1.201,1.278,-0.238,0.825,-1.435,0.389,-1.706,-0.408,-0.815,0.34,-0.077,-0.141,1.099
268278,4,3,5,5,1.244,-0.492,0.898,0.615,-0.4,0.01,0.629,1.133,-0.252,0.212,0.505,0.397,0.781,-0.442,-0.522,1.014,0.056,-1.436,-0.051,1.899,-1.57,-2.37,-0.361,-0.057,0.774,-1.653,-1.333,0.003,0.56,0.91,-1.571,-0.084,0.385,-0.903,-1.204,1.026,-0.739,1.615,1.4,-0.126,-1.021,-2.114,0.803,-0.167,2,1.991,-0.966,0.08,-0.067,2.404,0.795
951027,3,1,10,6,0.032,-0.039,0.114,1.692,0.378,0.312,-1.615,-0.538,-0.357,1.019,0.081,-1.418,1.241,1.898,0.003,-0.633,0.537,2.236,-0.704,0.417,0.099,-1.094,0.169,-0.632,-0.176,-0.591,0.396,0.512,-0.481,1.554,-0.88,0.49,-0.172,1.157,0.044,1.106,-1.096,0.499,1.522,0.549,-1.107,0.639,0.952,1.692,-0.098,1.274,-2.09,0.054,0.354,-0.28,3.446
546100,3,2,6,4,-0.359,-0.05,0.411,1.783,0.886,-0.115,-1.329,-1.687,0.37,0.96,2.786,0.805,0.331,0.023,-0.131,0.084,-0.399,0.44,-1.605,-0.711,-0.295,0.132,0.92,-0.943,0.632,0.444,1.152,-0.027,1.19,-0.202,0.68,0.907,-0.873,-1.764,-0.313,0.283,-0.174,-0.372,-1.845,-1.697,-1.447,-1.123,-1.315,-0.112,0.164,-0.2,1.223,1.647,0.249,0.365,2.903
390233,5,3,10,6,2.065,-0.814,1.547,-0.565,1.086,-1.249,-2.25,-0.971,1.347,-0.048,-0.846,-0.044,0.136,-0.94,-1.356,0.107,-0.566,0.47,-0.815,-1.994,-0.569,1.108,-0.353,-0.955,0.711,0.183,-0.793,1.192,1.196,1.596,0.127,-0.385,-0.43,2.309,1.873,0.234,1.404,-0.172,0.551,-1.761,0.131,0.808,0.941,-0.121,2.107,0.962,2.479,-0.777,-1.857,-0.096,2.272
564183,3,2,10,2,0.18,0.126,-1.465,-0.258,-0.503,1.022,-0.113,1.509,1.214,0.165,0.673,0.773,0.56,0.692,-0.925,-0.187,0.018,0.298,0.341,0.022,-0.275,-1.1,-0.942,-0.653,0.784,0.342,1.75,2.101,-1.121,-0.269,0.42,1.963,-1.791,1.217,-0.041,-0.284,0.751,2.056,-0.021,-1.028,-0.518,0.972,0.46,-0.192,-0.099,-0.337,1.1,0.744,-0.099,-0.912,3.781
140712,2,1,1,5,0.256,0.76,1.607,-2.412,0.16,-0.279,1.052,0.083,0.35,0.03,-0.295,3.106,-1.402,-1.073,0.371,-0.399,0.176,-1.241,0.428,-0.088,-1.922,-0.242,-1.803,-0.157,-0.074,-1.631,1.052,0.16,-0.189,0.945,-0.053,-1.029,1.07,0.534,-1.027,0.564,0.537,0.041,0.763,2.355,0.968,2.29,1.62,-0.502,0.143,-0.823,0.246,-0.167,0.437,-0.267,0.382
783007,1,1,9,4,-0.893,-1.244,-1.749,0.818,1.061,0.15,-0.098,0.706,-0.553,0.759,0.526,-1.907,0.391,-0.604,-0.855,0.763,0.501,1.151,1.706,0.55,-1.09,0.7,0.009,-0.936,-0.088,-0.62,-0.932,-1.067,-0.069,-1.547,-2.002,0.992,-0.065,0.194,1.815,-1.081,2.035,0.461,-0.031,1.321,-0.169,-1.011,-0.878,-0.362,-1.589,-0.698,0.353,-1.08,0.585,-0.051,-0.848
